image_id,page_id,image_src,image_alt,is_external
0a5427ab-db23-4d27-92ed-28f6821240e4_img_1,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/gfg-gg-logo.svg,geeksforgeeks,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_2,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-3.svg,three90 challenge,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_3,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-6.svg,step icon,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_4,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/Vectors.svg,arrow,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_5,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/Rectangle.svg,step icon,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_6,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-41.svg,step icon,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_7,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/file3.svg,Mentor,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_8,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823.svg,Personalized Feed,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_9,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-10000018241.svg,Interview Experiences,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_10,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-7.svg,Job Openings & Updates,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_11,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-8.svg,Internship Opportunities,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_12,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/wp-content/uploads/20250929101624249259/tech_interview.webp,course-img,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_13,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/wp-content/uploads/20251119100432783088/JBDL1.webp,course-img,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_14,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/wp-content/uploads/20251010124253058806/generative-ai-training-program-.webp,course-img,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_15,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/wp-content/uploads/20260109134146052260/devops_engineering.webp,course-img,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_16,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/img-practice/prod/courses/221/Web/Content/cpp_1723009538.webp,course-img,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_17,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/img-practice/prod/courses/270/Web/Content/CourseJavaProgrammin_1716371938.webp,course-img,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_18,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/gfgFooterLogo.png,GeeksforGeeks,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_19,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/img-practice/Location-1685004904.svg,location,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_20,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/googleplay-%281%29.png,GFG App on Play Store,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_21,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/appstore-%281%29.png,GFG App on App Store,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_1,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/gfg-gg-logo.svg,geeksforgeeks,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_2,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-3.svg,three90 challenge,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_3,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-6.svg,step icon,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_4,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/auth-dashboard-uploads/Vectors.svg,arrow,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_5,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/auth-dashboard-uploads/Rectangle.svg,step icon,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_6,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-41.svg,step icon,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_7,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/auth-dashboard-uploads/file3.svg,Mentor,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_8,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823.svg,Personalized Feed,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_9,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-10000018241.svg,Interview Experiences,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_10,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-7.svg,Job Openings & Updates,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_11,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-8.svg,Internship Opportunities,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_12,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/wp-content/uploads/20250929101624249259/tech_interview.webp,course-img,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_13,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/wp-content/uploads/20251119100432783088/JBDL1.webp,course-img,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_14,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/wp-content/uploads/20251010124253058806/generative-ai-training-program-.webp,course-img,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_15,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/wp-content/uploads/20260109134146052260/devops_engineering.webp,course-img,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_16,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/img-practice/prod/courses/221/Web/Content/cpp_1723009538.webp,course-img,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_17,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/img-practice/prod/courses/270/Web/Content/CourseJavaProgrammin_1716371938.webp,course-img,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_18,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/auth-dashboard-uploads/gfgFooterLogo.png,GeeksforGeeks,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_19,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/img-practice/Location-1685004904.svg,location,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_20,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/auth-dashboard-uploads/googleplay-%281%29.png,GFG App on Play Store,True
c811e6e1-ac3f-4c91-b2a5-846591cebb26_img_21,c811e6e1-ac3f-4c91-b2a5-846591cebb26,https://media.geeksforgeeks.org/auth-dashboard-uploads/appstore-%281%29.png,GFG App on App Store,True
253120c6-54db-4ea4-9103-782ec90ac037_img_1,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/gfg-gg-logo.svg,geeksforgeeks,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_2,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-3.svg,three90 challenge,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_3,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-6.svg,step icon,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_4,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/auth-dashboard-uploads/Vectors.svg,arrow,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_5,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/auth-dashboard-uploads/Rectangle.svg,step icon,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_6,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-41.svg,step icon,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_7,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/auth-dashboard-uploads/file3.svg,Mentor,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_8,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823.svg,Personalized Feed,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_9,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-10000018241.svg,Interview Experiences,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_10,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-7.svg,Job Openings & Updates,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_11,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-8.svg,Internship Opportunities,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_12,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/wp-content/uploads/20250929101624249259/tech_interview.webp,course-img,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_13,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/wp-content/uploads/20251119100432783088/JBDL1.webp,course-img,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_14,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/wp-content/uploads/20251010124253058806/generative-ai-training-program-.webp,course-img,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_15,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/wp-content/uploads/20260109134146052260/devops_engineering.webp,course-img,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_16,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/img-practice/prod/courses/221/Web/Content/cpp_1723009538.webp,course-img,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_17,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/img-practice/prod/courses/270/Web/Content/CourseJavaProgrammin_1716371938.webp,course-img,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_18,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/auth-dashboard-uploads/gfgFooterLogo.png,GeeksforGeeks,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_19,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/img-practice/Location-1685004904.svg,location,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_20,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/auth-dashboard-uploads/googleplay-%281%29.png,GFG App on Play Store,True,2026-02-16T17:34:42.781139+00:00
253120c6-54db-4ea4-9103-782ec90ac037_img_21,253120c6-54db-4ea4-9103-782ec90ac037,https://media.geeksforgeeks.org/auth-dashboard-uploads/appstore-%281%29.png,GFG App on App Store,True,2026-02-16T17:34:42.781139+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_1,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/gfg-gg-logo.svg,geeksforgeeks,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_2,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-3.svg,three90 challenge,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_3,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-6.svg,step icon,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_4,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/Vectors.svg,arrow,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_5,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/Rectangle.svg,step icon,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_6,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-41.svg,step icon,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_7,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/file3.svg,Mentor,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_8,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823.svg,Personalized Feed,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_9,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-10000018241.svg,Interview Experiences,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_10,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-7.svg,Job Openings & Updates,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_11,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-8.svg,Internship Opportunities,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_12,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/wp-content/uploads/20250929101624249259/tech_interview.webp,course-img,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_13,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/wp-content/uploads/20251119100432783088/JBDL1.webp,course-img,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_14,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/wp-content/uploads/20251010124253058806/generative-ai-training-program-.webp,course-img,True,2026-02-16T17:48:59.888523+00:00
4822d0d2-dc05-4a66-90ff-5c2773beadfa_img_15,4822d0d2-dc05-4a66-90ff-5c2773beadfa,https://media.geeksforgeeks.org/wp-content/uploads/20260109134146052260/devops_engineering.webp,course-img,True,2026-02-16T17:48:59.888523+00:00
