image_id,page_id,image_src,image_alt,is_external
0a5427ab-db23-4d27-92ed-28f6821240e4_img_1,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/gfg-gg-logo.svg,geeksforgeeks,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_2,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-3.svg,three90 challenge,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_3,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-6.svg,step icon,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_4,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/Vectors.svg,arrow,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_5,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/Rectangle.svg,step icon,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_6,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-41.svg,step icon,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_7,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/file3.svg,Mentor,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_8,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823.svg,Personalized Feed,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_9,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-10000018241.svg,Interview Experiences,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_10,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-7.svg,Job Openings & Updates,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_11,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-8.svg,Internship Opportunities,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_12,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/wp-content/uploads/20250929101624249259/tech_interview.webp,course-img,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_13,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/wp-content/uploads/20251119100432783088/JBDL1.webp,course-img,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_14,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/wp-content/uploads/20251010124253058806/generative-ai-training-program-.webp,course-img,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_15,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/wp-content/uploads/20260109134146052260/devops_engineering.webp,course-img,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_16,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/img-practice/prod/courses/221/Web/Content/cpp_1723009538.webp,course-img,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_17,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/img-practice/prod/courses/270/Web/Content/CourseJavaProgrammin_1716371938.webp,course-img,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_18,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/gfgFooterLogo.png,GeeksforGeeks,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_19,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/img-practice/Location-1685004904.svg,location,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_20,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/googleplay-%281%29.png,GFG App on Play Store,True
0a5427ab-db23-4d27-92ed-28f6821240e4_img_21,0a5427ab-db23-4d27-92ed-28f6821240e4,https://media.geeksforgeeks.org/auth-dashboard-uploads/appstore-%281%29.png,GFG App on App Store,True
