page_id,link_number,link_url,link_text,link_title,is_external
f8e90398-ad70-4a16-b42b-e07b1a2500d9,1,https://www.geeksforgeeks.org/,,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,2,https://www.geeksforgeeks.org/dsa/dsa-tutorial-learn-data-structures-and-algorithms/,DSA,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,3,https://www.geeksforgeeks.org/explore,Practice Problems,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,4,https://www.geeksforgeeks.org/c/c-programming-language/,C,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,5,https://www.geeksforgeeks.org/cpp/c-plus-plus/,C++,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,6,https://www.geeksforgeeks.org/java/java/,Java,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,7,https://www.geeksforgeeks.org/python/python-programming-language-tutorial/,Python,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,8,https://www.geeksforgeeks.org/javascript/javascript-tutorial/,JavaScript,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,9,https://www.geeksforgeeks.org/data-science/data-science-for-beginners/,Data Science,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,10,https://www.geeksforgeeks.org/machine-learning/machine-learning/,Machine Learning,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,11,https://www.geeksforgeeks.org/courses,Courses,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,12,https://www.geeksforgeeks.org/linux-unix/linux-tutorial/,Linux,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,13,https://www.geeksforgeeks.org/devops/devops-tutorial/,DevOps,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,14,https://www.geeksforgeeks.org/courses/dsa-self-paced,DSA Online,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,15,https://www.geeksforgeeks.org/courses/data-science-live,Master DS & ML,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,16,https://www.geeksforgeeks.org/connect/home,Explore Now,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,17,https://www.geeksforgeeks.org/courses/interviewe-101-data-structures-algorithm-system-design/,4.9Tech Interview 101 - DSA and System DesignBeginner to Advanced399k+ interested GeeksGet 90% Refund,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,18,https://www.geeksforgeeks.org/courses/Java-backend-live/,4.6Java Backend Development with AI - LiveIntermediate and Advanced395k+ interested GeeksGet 90% Refund,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,19,https://www.geeksforgeeks.org/courses/generative-ai-training-program/,5.0Generative AI Training Program - LiveBeginner to Advanced42k+ interested GeeksGet 90% Refund,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,20,https://www.geeksforgeeks.org/courses/devops-live/,4.7DevOps Engineering with AI : Planning to ProductionBeginner to Advanced157k+ interested GeeksGet 90% Refund,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,21,https://www.geeksforgeeks.org/courses/cpp-programming-basic-to-advanced/,4.7C++ Programming - Self PacedBeginner to Advanced315k+ interested GeeksGet 90% Refund,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,22,https://www.geeksforgeeks.org/courses/java-online-course-complete-beginner-to-advanced/,4.6Java Programming - Self PacedBeginner to Advanced423k+ interested GeeksGet 90% Refund,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,23,https://www.geeksforgeeks.org/jobs,Jobs for you,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,24,https://www.geeksforgeeks.org/gfg-hiring-solutions-for-recruiters/,Hire with us,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,25,https://www.geeksforgeeks.org/advertise-with-us/,Advertise with Us,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,26,https://www.geeksforgeeks.org/campus-training-program/,Placement Training Program,,False
